-ASHAPED-

MIDDLE
"Liczba elementów";"Quick sort"
10000;0.07666
20000;0.269834
30000;0.593786
40000;1.05448
50000;1.63506
60000;2.35322
70000;3.19793
80000;4.1718
90000;5.2946
100000;6.51946
110000;7.93954
120000;9.37575
130000;11.0196
140000;12.7695
150000;14.6366

RIGHT
"Liczba elementów";"Quick sort"
10000;0.003817
20000;0.006583
30000;0.007265
40000;0.011049
50000;0.012638
60000;0.016877
70000;0.018966
80000;0.021291
90000;0.024524
100000;0.028169
110000;0.031927
120000;0.035182
130000;0.038027
140000;0.040122
150000;0.046399

RANDOM
"Liczba elementów";"Quick sort"
10000;0.002059
20000;0.004203
30000;0.005331
40000;0.00642
50000;0.007518
60000;0.009916
70000;0.009741
80000;0.010581
90000;0.014059
100000;0.015326
110000;0.017786
120000;0.018801
130000;0.021208
140000;0.02064
150000;0.022465
