-LIST-
elements;generating;finding;deleting
1000;0.003096;0.005203;5.5e-05
2000;0.012417;0.023804;7.6e-05
3000;0.026395;0.056634;0.000152
4000;0.041749;0.096327;0.000111
5000;0.066661;0.143197;0.000165
6000;0.098141;0.223488;0.000161
7000;0.128901;0.331399;0.000205
8000;0.17671;0.455703;0.000204
9000;0.235081;0.622129;0.000222
10000;0.300752;0.787489;0.000238
11000;0.393029;0.99297;0.00034
12000;0.46867;1.206;0.00034
13000;0.564238;2.22105;0.000471
14000;0.89395;2.0338;0.000506
15000;0.961355;2.49308;0.000428

-TREE-
elements;generating;finding;deleting
1000;0.000186;0.00014;3.3e-05
2000;0.000462;0.000368;7.9e-05
3000;0.000778;0.000521;0.000103
4000;0.001005;0.00078;0.000132
5000;0.001304;0.001217;0.000249
6000;0.001838;0.001564;0.000314
7000;0.002121;0.001642;0.000446
8000;0.002161;0.002212;0.000406
9000;0.003078;0.002696;0.000326
10000;0.003488;0.002462;0.000357
11000;0.003961;0.003885;0.000472
12000;0.0046;0.005314;0.000612
13000;0.004267;0.004491;0.000924
14000;0.00612;0.005536;0.000619
15000;0.0057;0.005798;0.001363
